name;sku;gtin;product_number;descriptionDK;product_name;color_code;color;pantone;hex;size_code;size;price\/amount;price\/currency;stock;weight;tariff_number;country_of_origin;main_category;sub_categories;images\/packshots;iamges\/modelShots;washingInstructions
ST103 Cam;'000103052o;5714485100739;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;05;Blue Navy;PMS 533 C;#1f2a44;2;4-6 Years;15,2;DKK;0;0,07;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_BlueNavy_05_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_BlueNavy_05_front.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_BlueNavy_05_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'000103053o;5714485100753;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;05;Blue Navy;PMS 533 C;#1f2a44;3;8-10 Years;15,2;DKK;272;0,08;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_BlueNavy_05_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_BlueNavy_05_front.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_BlueNavy_05_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'0001030540o;5714485100777;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;05;Blue Navy;PMS 533 C;#1f2a44;40;12-14 Years;15,2;DKK;212;0,1;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_BlueNavy_05_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_BlueNavy_05_front.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_BlueNavy_05_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'000103343o;5714485100807;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;34;Oxford Grey;PMS Cool Grey 7 C;#97999b;3;8-10 Years;15,2;DKK;110;0,08;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_OxfordGrey_34_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_OxfordGrey_34_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000103_OxfordGrey_34_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'0001033440o;5714485100814;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;34;Oxford Grey;PMS Cool Grey 7 C;#97999b;40;12-14 Years;15,2;DKK;28;0,1;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_OxfordGrey_34_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_OxfordGrey_34_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000103_OxfordGrey_34_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'000103542o;5714485100838;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;54;Sky Blue;PMS 657 C;#c8d8eb;2;4-6 Years;15,2;DKK;7;0,07;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_SkyBlue_54_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_SkyBlue_54_front.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_SkyBlue_54_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'000103543o;5714485100845;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;54;Sky Blue;PMS 657 C;#c8d8eb;3;8-10 Years;15,2;DKK;322;0,08;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_SkyBlue_54_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_SkyBlue_54_front.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_SkyBlue_54_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'0001035440o;5714485100852;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;54;Sky Blue;PMS 657 C;#c8d8eb;40;12-14 Years;15,2;DKK;419;0,1;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_SkyBlue_54_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_SkyBlue_54_front.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_SkyBlue_54_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'000103072o;5714485101743;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;07;Yellow;PMS 116 C;#ffcd00;2;4-6 Years;15,2;DKK;52;0,07;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_Yellow_07_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_Yellow_07_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000103_Yellow_07_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'000103073o;5714485101729;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;07;Yellow;PMS 116 C;#ffcd00;3;8-10 Years;15,2;DKK;125;0,08;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_Yellow_07_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_Yellow_07_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000103_Yellow_07_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'0001030740o;5714485101712;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;07;Yellow;PMS 116 C;#ffcd00;40;12-14 Years;15,2;DKK;219;0,1;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_Yellow_07_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_Yellow_07_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000103_Yellow_07_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'0001030742o;5714485101705;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;07;Yellow;PMS 116 C;#ffcd00;42;XS;19,25;DKK;183;0,11;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_Yellow_07_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_Yellow_07_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000103_Yellow_07_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'0001030812o;5714485110165;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;08;Pink;PMS 214 C;#CE0F69;12;2 Years;15,2;DKK;71;0,06;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_Pink_08_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_Pink_08_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000103_Pink_08_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'000103082o;5714485110172;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;08;Pink;PMS 214 C;#CE0F69;2;4-6 Years;15,2;DKK;3;0,07;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_Pink_08_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_Pink_08_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000103_Pink_08_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
ST103 Cam;'000103083o;5714485110189;ST103;Quality: 100% combed and enzyme washed cottonAsh: 99% combed cotton / 1% viscoseOxford grey: 85% combed cotton / 15% viscoseHeather Green: 40% combed cotton / 60% polyesterAnthracite, Heather Burgundy, Heather Blue: 60% combed cotton / 40% polyesterWeight: 145 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Cam T-shirt is a standard product with a new, improved quality for a nice price. It is round knitted, has double stitches and a classic, round neck with a band.;Cam;08;Pink;PMS 214 C;#CE0F69;3;8-10 Years;15,2;DKK;18;0,08;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000103_Pink_08_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000103_Pink_08_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000103_Pink_08_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_04c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_07c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_08c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000103_Cam_09c.jpg, ;
